gene	transcript	chromosome	strand	source	TSS	cluster	id
Mbd3	ENSMUST00000105348.7	chr10	-	HAVANA	80399422	p1	Mbd3_p1
Mbd4	ENSMUST00000032469.12	chr6	-	HAVANA	115853371	p1	Mbd4_p1
Mbd4	ENSMUST00000147282.3	chr6	-	HAVANA	115853365	p1	Mbd4_p1
Mbd4	ENSMUST00000122816.2	chr6	-	HAVANA	115853288	p1	Mbd4_p1
Mbtps2	ENSMUST00000065857.5	chrX	-	HAVANA	157569005	p1	Mbtps2_p1
Mbtps2	ENSMUST00000058098.14	chrX	-	HAVANA	157598715	p2	Mbtps2_p2
Mbtps2	ENSMUST00000112522.8	chrX	-	HAVANA	157598650	p2	Mbtps2_p2
Mbtps2	ENSMUST00000179062.7	chrX	-	ENSEMBL	157598650	p2	Mbtps2_p2
Mbtps2	ENSMUST00000139786.7	chrX	-	HAVANA	157598651	p2	Mbtps2_p2
Mbtps2	ENSMUST00000149249.1	chrX	-	HAVANA	157598679	p2	Mbtps2_p2
Mbtps2	ENSMUST00000152826.2	chrX	-	HAVANA	157598643	p2	Mbtps2_p2
Mga	ENSMUST00000046717.12	chr2	+	HAVANA	119897228	p1	Mga_p1
Mga	ENSMUST00000079934.11	chr2	+	ENSEMBL	119897228	p1	Mga_p1
Mga	ENSMUST00000110774.7	chr2	+	ENSEMBL	119897228	p1	Mga_p1
Mga	ENSMUST00000110773.8	chr2	+	ENSEMBL	119897228	p1	Mga_p1
Mga	ENSMUST00000141776.7	chr2	+	HAVANA	119897232	p1	Mga_p1
Mga	ENSMUST00000129405.1	chr2	+	HAVANA	119897248	p1	Mga_p1
Mga	ENSMUST00000156510.1	chr2	+	HAVANA	119897305	p1	Mga_p1
Mid2	ENSMUST00000128809.1	chrX	+	HAVANA	140664599	p1	Mid2_p1
Mid2	ENSMUST00000112990.7	chrX	+	HAVANA	140664956	p1	Mid2_p1
Mid2	ENSMUST00000112988.7	chrX	+	HAVANA	140665072	p1	Mid2_p1
Mid2	ENSMUST00000112993.1	chrX	+	ENSEMBL	140678028	p2	Mid2_p2
Mid2	ENSMUST00000140144.1	chrX	+	HAVANA	140748927	p3	Mid2_p3
Mier1	ENSMUST00000136092.1	chr4	+	HAVANA	103114390	p1	Mier1_p1
Mier1	ENSMUST00000106858.7	chr4	+	HAVANA	103114395	p1	Mier1_p1
Mier1	ENSMUST00000137348.7	chr4	+	HAVANA	103114431	p1	Mier1_p1
Mier1	ENSMUST00000149259.7	chr4	+	HAVANA	103114465	p1	Mier1_p1
Mier1	ENSMUST00000143417.7	chr4	+	HAVANA	103114762	p2	Mier1_p2
Mier1	ENSMUST00000144219.1	chr4	+	HAVANA	103114956	p2	Mier1_p2
Mier1	ENSMUST00000134533.7	chr4	+	HAVANA	103115272	p3	Mier1_p3
Mier1	ENSMUST00000030247.10	chr4	+	ENSEMBL	103115560	p3	Mier1_p3
Mier1	ENSMUST00000097945.9	chr4	+	HAVANA	103115638	p3	Mier1_p3
Mier2	ENSMUST00000062855.14	chr10	-	HAVANA	79555091	p1	Mier2_p1
Mier2	ENSMUST00000165028.7	chr10	-	HAVANA	79555199	p1	Mier2_p1
Mier2	ENSMUST00000167183.7	chr10	-	HAVANA	79555114	p1	Mier2_p1
Mier2	ENSMUST00000164895.7	chr10	-	HAVANA	79554884	p2	Mier2_p2
Mier2	ENSMUST00000165778.7	chr10	-	HAVANA	79555121	p1	Mier2_p1
Mier2	ENSMUST00000170018.1	chr10	-	HAVANA	79555077	p1	Mier2_p1
Mier2	ENSMUST00000167689.1	chr10	-	HAVANA	79554605	p2	Mier2_p2
Mier3	ENSMUST00000231273.1	chr13	+	HAVANA	111680979	p1	Mier3_p1
Mier3	ENSMUST00000109272.8	chr13	+	HAVANA	111686178	p2	Mier3_p2
Mier3	ENSMUST00000231979.1	chr13	+	HAVANA	111686248	p2	Mier3_p2
Mier3	ENSMUST00000146726.7	chr13	+	HAVANA	111686325	p2	Mier3_p2
Mier3	ENSMUST00000137268.7	chr13	+	HAVANA	111686326	p2	Mier3_p2
Mier3	ENSMUST00000232560.1	chr13	+	HAVANA	111686333	p2	Mier3_p2
Mier3	ENSMUST00000047412.10	chr13	+	HAVANA	111686351	p2	Mier3_p2
Mier3	ENSMUST00000109271.2	chr13	+	HAVANA	111686351	p2	Mier3_p2
Mier3	ENSMUST00000231713.1	chr13	+	HAVANA	111686902	p3	Mier3_p3
Mier3	ENSMUST00000231466.1	chr13	+	HAVANA	111687499	p4	Mier3_p4
Mier3	ENSMUST00000232398.1	chr13	+	HAVANA	111700785	p5	Mier3_p5
Mis18bp1	ENSMUST00000052201.8	chr12	-	HAVANA	65172580	p1	Mis18bp1_p1
Mis18bp1	ENSMUST00000140391.7	chr12	-	HAVANA	65172604	p1	Mis18bp1_p1
Mis18bp1	ENSMUST00000222244.1	chr12	-	HAVANA	65172598	p1	Mis18bp1_p1
Mis18bp1	ENSMUST00000221296.1	chr12	-	HAVANA	65172599	p1	Mis18bp1_p1
Mis18bp1	ENSMUST00000124201.1	chr12	-	HAVANA	65172566	p1	Mis18bp1_p1
Mis18bp1	ENSMUST00000131753.1	chr12	-	HAVANA	65172578	p1	Mis18bp1_p1
Mitf	ENSMUST00000203884.2	chr6	+	HAVANA	97807052	p1	Mitf_p1
Mitf	ENSMUST00000148233.1	chr6	+	HAVANA	97807058	p1	Mitf_p1
Mitf	ENSMUST00000043637.13	chr6	+	HAVANA	97807058	p1	Mitf_p1
Mitf	ENSMUST00000101123.9	chr6	+	HAVANA	97929799	p2	Mitf_p2
Mitf	ENSMUST00000113339.7	chr6	+	HAVANA	97940918	p3	Mitf_p3
Mitf	ENSMUST00000139462.1	chr6	+	HAVANA	97991819	p4	Mitf_p4
Mitf	ENSMUST00000203938.1	chr6	+	HAVANA	97991921	p4	Mitf_p4
Mkrn2	ENSMUST00000000449.8	chr6	+	HAVANA	115601902	p1	Mkrn2_p1
Mkrn2	ENSMUST00000204409.1	chr6	+	HAVANA	115601961	p1	Mkrn2_p1
Mllt10	ENSMUST00000028076.14	chr2	+	ENSEMBL	18055237	p1	Mllt10_p1
Mllt10	ENSMUST00000150422.7	chr2	+	HAVANA	18064394	p2	Mllt10_p2
Mllt10	ENSMUST00000114671.7	chr2	+	HAVANA	18064636	p2	Mllt10_p2
Mllt10	ENSMUST00000154041.7	chr2	+	HAVANA	18064684	p2	Mllt10_p2
Mllt10	ENSMUST00000114680.8	chr2	+	HAVANA	18064687	p2	Mllt10_p2
Mllt10	ENSMUST00000133649.7	chr2	+	HAVANA	18064805	p2	Mllt10_p2
Mllt10	ENSMUST00000153279.1	chr2	+	HAVANA	18064834	p2	Mllt10_p2
Mllt10	ENSMUST00000155352.1	chr2	+	HAVANA	18064841	p2	Mllt10_p2
Mlx	ENSMUST00000107302.7	chr11	+	HAVANA	101087277	p1	Mlx_p1
Mlx	ENSMUST00000107303.9	chr11	+	HAVANA	101087277	p1	Mlx_p1
Mlx	ENSMUST00000149411.7	chr11	+	HAVANA	101087290	p1	Mlx_p1
Mlx	ENSMUST00000145187.1	chr11	+	HAVANA	101087290	p1	Mlx_p1
Mlx	ENSMUST00000017945.14	chr11	+	HAVANA	101087300	p1	Mlx_p1
Mlx	ENSMUST00000149597.1	chr11	+	HAVANA	101087304	p1	Mlx_p1
Msl1	ENSMUST00000037915.8	chr11	+	HAVANA	98795516	p1	Msl1_p1
Msl1	ENSMUST00000107485.7	chr11	+	HAVANA	98795791	p1	Msl1_p1
Msl1	ENSMUST00000107487.9	chr11	+	HAVANA	98795800	p1	Msl1_p1
Msl2	ENSMUST00000189616.1	chr9	+	HAVANA	101074101	p1	Msl2_p1
Msl2	ENSMUST00000085177.4	chr9	+	HAVANA	101074762	p2	Msl2_p2
Mta1	ENSMUST00000109727.8	chr12	+	ENSEMBL	113098278	p1	Mta1_p1
Mta1	ENSMUST00000009099.12	chr12	+	HAVANA	113098278	p1	Mta1_p1
Mta1	ENSMUST00000109723.7	chr12	+	HAVANA	113098278	p1	Mta1_p1
Mta1	ENSMUST00000109726.7	chr12	+	ENSEMBL	113098278	p1	Mta1_p1
Mta1	ENSMUST00000069690.4	chr12	+	HAVANA	113098323	p1	Mta1_p1
Mta1	ENSMUST00000130926.7	chr12	+	HAVANA	113098401	p1	Mta1_p1
Mta2	ENSMUST00000096240.2	chr19	+	HAVANA	8941875	p1	Mta2_p1
Mta2	ENSMUST00000137956.7	chr19	+	HAVANA	8942493	p2	Mta2_p2
Mta2	ENSMUST00000135300.7	chr19	+	HAVANA	8942506	p2	Mta2_p2
Mta3	ENSMUST00000112350.7	chr17	+	HAVANA	83706163	p1	Mta3_p1
Mta3	ENSMUST00000112349.8	chr17	+	HAVANA	83706163	p1	Mta3_p1
Mta3	ENSMUST00000112352.9	chr17	+	HAVANA	83706163	p1	Mta3_p1
Mta3	ENSMUST00000177069.7	chr17	+	HAVANA	83706184	p1	Mta3_p1
Mta3	ENSMUST00000067826.14	chr17	+	HAVANA	83706191	p1	Mta3_p1
Mxi1	ENSMUST00000003870.14	chr19	+	HAVANA	53310518	p1	Mxi1_p1
Mxi1	ENSMUST00000235201.1	chr19	+	HAVANA	53330408	p2	Mxi1_p2
Myb	ENSMUST00000188495.7	chr10	-	HAVANA	21160905	p1	Myb_p1
Myb	ENSMUST00000020158.8	chr10	-	HAVANA	21160984	p1	Myb_p1
Myb	ENSMUST00000186446.1	chr10	-	HAVANA	21160850	p1	Myb_p1
Myc	ENSMUST00000161976.7	chr15	+	HAVANA	61985391	p1	Myc_p1
Myc	ENSMUST00000022971.7	chr15	+	HAVANA	61985391	p1	Myc_p1
Myc	ENSMUST00000159327.1	chr15	+	HAVANA	61985564	p1	Myc_p1
Myc	ENSMUST00000167731.7	chr15	+	HAVANA	61985622	p1	Myc_p1
Myc	ENSMUST00000191178.1	chr15	+	ENSEMBL	61985922	p2	Myc_p2
Mycl	ENSMUST00000144998.1	chr4	+	HAVANA	122995652	p1	Mycl_p1
Mycl	ENSMUST00000106252.8	chr4	+	HAVANA	122995944	p1	Mycl_p1
Mycl	ENSMUST00000030407.7	chr4	+	HAVANA	122996099	p1	Mycl_p1
Mycn	ENSMUST00000043396.14	chr12	-	HAVANA	12941914	p1	Mycn_p1
Mycn	ENSMUST00000130990.1	chr12	-	HAVANA	12940616	p2	Mycn_p2
Mycn	ENSMUST00000151534.1	chr12	-	HAVANA	12941825	p1	Mycn_p1
Myef2	ENSMUST00000110501.7	chr2	-	HAVANA	125123595	p1	Myef2_p1
Myef2	ENSMUST00000152367.7	chr2	-	HAVANA	125123626	p1	Myef2_p1
Myef2	ENSMUST00000142718.7	chr2	-	HAVANA	125123623	p1	Myef2_p1
Myef2	ENSMUST00000067780.9	chr2	-	ENSEMBL	125123660	p1	Myef2_p1
Myef2	ENSMUST00000147105.7	chr2	-	HAVANA	125123661	p1	Myef2_p1
Myef2	ENSMUST00000137091.2	chr2	-	HAVANA	125123414	p1	Myef2_p1
Myef2	ENSMUST00000149911.1	chr2	-	HAVANA	125123575	p1	Myef2_p1
Mynn	ENSMUST00000192715.5	chr3	+	HAVANA	30602065	p1	Mynn_p1
Mynn	ENSMUST00000195396.5	chr3	+	HAVANA	30602631	p2	Mynn_p2
Mynn	ENSMUST00000047502.8	chr3	+	HAVANA	30602637	p2	Mynn_p2
Mynn	ENSMUST00000194587.1	chr3	+	HAVANA	30602639	p2	Mynn_p2
Mynn	ENSMUST00000195751.1	chr3	+	HAVANA	30602644	p2	Mynn_p2
Myrf	ENSMUST00000088013.11	chr19	-	HAVANA	10240748	p1	Myrf_p1
Myrf	ENSMUST00000190922.6	chr19	-	HAVANA	10240748	p1	Myrf_p1
Myrf	ENSMUST00000186056.6	chr19	-	HAVANA	10240745	p1	Myrf_p1
Myrf	ENSMUST00000189897.1	chr19	-	HAVANA	10240604	p1	Myrf_p1
Myrf	ENSMUST00000189439.1	chr19	-	HAVANA	10240748	p1	Myrf_p1
Mysm1	ENSMUST00000075872.3	chr4	-	HAVANA	94979100	p1	Mysm1_p1
Mysm1	ENSMUST00000149954.7	chr4	-	HAVANA	94979075	p1	Mysm1_p1
Mysm1	ENSMUST00000134730.7	chr4	-	HAVANA	94979042	p1	Mysm1_p1
Mysm1	ENSMUST00000132758.7	chr4	-	HAVANA	94979078	p1	Mysm1_p1
Mysm1	ENSMUST00000131575.7	chr4	-	HAVANA	94979053	p1	Mysm1_p1
Mysm1	ENSMUST00000136130.1	chr4	-	HAVANA	94979075	p1	Mysm1_p1
Nanog	ENSMUST00000112581.7	chr6	+	HAVANA	122707489	p1	Nanog_p1
Nanog	ENSMUST00000112580.7	chr6	+	HAVANA	122707565	p1	Nanog_p1
Nanog	ENSMUST00000012540.4	chr6	+	HAVANA	122707568	p1	Nanog_p1
Ncor1	ENSMUST00000018645.12	chr11	-	HAVANA	62457332	p1	Ncor1_p1
Ncor1	ENSMUST00000127471.8	chr11	-	HAVANA	62457806	p1	Ncor1_p1
Ncor1	ENSMUST00000069456.10	chr11	-	HAVANA	62457323	p1	Ncor1_p1
Ncor1	ENSMUST00000141447.1	chr11	-	HAVANA	62458541	p2	Ncor1_p2
Nexmif	ENSMUST00000118314.7	chrX	-	HAVANA	104201185	p1	Nexmif_p1
Nexmif	ENSMUST00000087879.10	chrX	-	ENSEMBL	104201117	p1	Nexmif_p1
Nexmif	ENSMUST00000056502.6	chrX	-	HAVANA	104201144	p1	Nexmif_p1
Nfatc3	ENSMUST00000212936.1	chr8	+	HAVANA	106058840	p1	Nfatc3_p1
Nfatc3	ENSMUST00000212742.1	chr8	+	HAVANA	106058840	p1	Nfatc3_p1
Nfatc3	ENSMUST00000211991.1	chr8	+	HAVANA	106058840	p1	Nfatc3_p1
Nfatc3	ENSMUST00000212577.1	chr8	+	HAVANA	106059633	p2	Nfatc3_p2
Nfatc3	ENSMUST00000109308.2	chr8	+	HAVANA	106059633	p2	Nfatc3_p2
Nfatc4	ENSMUST00000226979.1	chr14	+	HAVANA	55823144	p1	Nfatc4_p1
Nfatc4	ENSMUST00000024179.5	chr14	+	HAVANA	55824795	p2	Nfatc4_p2
Nfatc4	ENSMUST00000172271.8	chr14	+	HAVANA	55825037	p2	Nfatc4_p2
Nfatc4	ENSMUST00000226357.1	chr14	+	HAVANA	55825801	p3	Nfatc4_p3
Nfatc4	ENSMUST00000226536.1	chr14	+	HAVANA	55830269	p4	Nfatc4_p4
Nfatc4	ENSMUST00000226716.1	chr14	+	HAVANA	55830269	p4	Nfatc4_p4
Nfatc4	ENSMUST00000226293.1	chr14	+	HAVANA	55830269	p4	Nfatc4_p4
Nfatc4	ENSMUST00000226869.1	chr14	+	HAVANA	55830269	p4	Nfatc4_p4
Nfe2l1	ENSMUST00000167149.7	chr11	-	ENSEMBL	96829502	p1	Nfe2l1_p1
Nfe2l1	ENSMUST00000081775.11	chr11	-	ENSEMBL	96829968	p1	Nfe2l1_p1
Nfe2l1	ENSMUST00000107657.7	chr11	-	HAVANA	96829955	p1	Nfe2l1_p1
Nfe2l1	ENSMUST00000134951.1	chr11	-	HAVANA	96822725	p2	Nfe2l1_p2
Nfe2l1	ENSMUST00000135836.1	chr11	-	HAVANA	96829501	p1	Nfe2l1_p1
Nfe2l2	ENSMUST00000102672.4	chr2	-	HAVANA	75704641	p1	Nfe2l2_p1
Nfe2l2	ENSMUST00000152371.1	chr2	-	HAVANA	75704489	p1	Nfe2l2_p1
Nfkb2	ENSMUST00000237330.1	chr19	+	HAVANA	46304320	p1	Nfkb2_p1
Nfkb2	ENSMUST00000073116.12	chr19	+	HAVANA	46304744	p1	Nfkb2_p1
Nfkb2	ENSMUST00000236591.1	chr19	+	HAVANA	46304800	p1	Nfkb2_p1
Nfkb2	ENSMUST00000111881.3	chr19	+	HAVANA	46305696	p2	Nfkb2_p2
Nfkb2	ENSMUST00000237761.1	chr19	+	HAVANA	46305998	p2	Nfkb2_p2
Nfkb2	ENSMUST00000236820.1	chr19	+	HAVANA	46305998	p2	Nfkb2_p2
Nfkb2	ENSMUST00000237791.1	chr19	+	HAVANA	46305998	p2	Nfkb2_p2
Nfkb2	ENSMUST00000235868.1	chr19	+	HAVANA	46306121	p2	Nfkb2_p2
Nfrkb	ENSMUST00000086167.11	chr9	+	HAVANA	31386192	p1	Nfrkb_p1
Nfrkb	ENSMUST00000132329.7	chr9	+	HAVANA	31386197	p1	Nfrkb_p1
Nfrkb	ENSMUST00000131540.7	chr9	+	HAVANA	31386204	p1	Nfrkb_p1
Nfrkb	ENSMUST00000152593.7	chr9	+	HAVANA	31386213	p1	Nfrkb_p1
Nfrkb	ENSMUST00000215211.1	chr9	+	HAVANA	31386456	p1	Nfrkb_p1
Nfx1	ENSMUST00000091614.6	chr4	+	HAVANA	40970906	p1	Nfx1_p1
Nfx1	ENSMUST00000030133.14	chr4	+	HAVANA	40970906	p1	Nfx1_p1
Nfx1	ENSMUST00000098143.10	chr4	+	HAVANA	40970906	p1	Nfx1_p1
Nfxl1	ENSMUST00000087216.11	chr5	-	HAVANA	72559684	p1	Nfxl1_p1
Nfxl1	ENSMUST00000135318.7	chr5	-	HAVANA	72559645	p1	Nfxl1_p1
Nfxl1	ENSMUST00000074948.4	chr5	-	HAVANA	72559599	p1	Nfxl1_p1
Nfxl1	ENSMUST00000134452.7	chr5	-	HAVANA	72559412	p1	Nfxl1_p1
Nfxl1	ENSMUST00000146761.1	chr5	-	HAVANA	72559648	p1	Nfxl1_p1
Nfxl1	ENSMUST00000198977.1	chr5	-	HAVANA	72559623	p1	Nfxl1_p1
Nfya	ENSMUST00000078800.12	chr17	-	HAVANA	48409765	p1	Nfya_p1
Nfya	ENSMUST00000162460.7	chr17	-	HAVANA	48409906	p1	Nfya_p1
Nfya	ENSMUST00000046719.13	chr17	-	HAVANA	48409765	p1	Nfya_p1
Nfya	ENSMUST00000160319.7	chr17	-	HAVANA	48409730	p1	Nfya_p1
Nfya	ENSMUST00000159535.1	chr17	-	HAVANA	48409741	p1	Nfya_p1
Nfya	ENSMUST00000160804.1	chr17	-	HAVANA	48409688	p1	Nfya_p1
Nfya	ENSMUST00000161686.1	chr17	-	HAVANA	48409750	p1	Nfya_p1
Nfyb	ENSMUST00000130911.7	chr10	-	HAVANA	82764144	p1	Nfyb_p1
Nfyb	ENSMUST00000143749.7	chr10	-	HAVANA	82764101	p1	Nfyb_p1
Nfyb	ENSMUST00000127832.1	chr10	-	HAVANA	82763663	p1	Nfyb_p1
Nfyb	ENSMUST00000142523.1	chr10	-	HAVANA	82763646	p1	Nfyb_p1
Nfyc	ENSMUST00000043429.11	chr4	-	HAVANA	120825706	p1	Nfyc_p1
Nfyc	ENSMUST00000134979.7	chr4	-	HAVANA	120825684	p1	Nfyc_p1
Nfyc	ENSMUST00000136236.7	chr4	-	HAVANA	120825696	p1	Nfyc_p1
Nfyc	ENSMUST00000145658.1	chr4	-	HAVANA	120825707	p1	Nfyc_p1
Nkrf	ENSMUST00000239259.1	chrX	-	HAVANA	36903513	p1	Nkrf_p1
Nkrf	ENSMUST00000057093.7	chrX	-	ENSEMBL	36902899	p2	Nkrf_p2
Nme2	ENSMUST00000021217.10	chr11	-	HAVANA	93956259	p1	Nme2_p1
Nme2	ENSMUST00000072566.4	chr11	-	HAVANA	93955783	p1	Nme2_p1
Nr1d2	ENSMUST00000090543.5	chr14	-	HAVANA	18239127	p1	Nr1d2_p1
Nr1d2	ENSMUST00000225491.1	chr14	-	HAVANA	18239011	p1	Nr1d2_p1
Nr1d2	ENSMUST00000143308.1	chr14	-	HAVANA	18239031	p1	Nr1d2_p1
Nr1h2	ENSMUST00000107912.7	chr7	-	HAVANA	44553686	p1	Nr1h2_p1
Nr1h2	ENSMUST00000073488.11	chr7	-	HAVANA	44553949	p1	Nr1h2_p1
Nr1h2	ENSMUST00000107911.7	chr7	-	HAVANA	44553948	p1	Nr1h2_p1
Nr1h2	ENSMUST00000107910.7	chr7	-	HAVANA	44553923	p1	Nr1h2_p1
Nr1h2	ENSMUST00000167197.7	chr7	-	ENSEMBL	44553923	p1	Nr1h2_p1
Nr1h2	ENSMUST00000123358.8	chr7	-	HAVANA	44553911	p1	Nr1h2_p1
Nr1h2	ENSMUST00000132769.7	chr7	-	HAVANA	44553951	p1	Nr1h2_p1
Nr1h2	ENSMUST00000209017.1	chr7	-	HAVANA	44553708	p1	Nr1h2_p1
Nr1h2	ENSMUST00000208366.1	chr7	-	HAVANA	44553895	p1	Nr1h2_p1
Nr1h2	ENSMUST00000207550.1	chr7	-	HAVANA	44553692	p1	Nr1h2_p1
Nr1h2	ENSMUST00000207737.1	chr7	-	HAVANA	44553901	p1	Nr1h2_p1
Nr1h2	ENSMUST00000128600.2	chr7	-	HAVANA	44553923	p1	Nr1h2_p1
Nr1h2	ENSMUST00000142298.1	chr7	-	HAVANA	44553212	p2	Nr1h2_p2
Nr1h2	ENSMUST00000136611.1	chr7	-	HAVANA	44553899	p1	Nr1h2_p1
Nr2c2	ENSMUST00000113460.7	chr6	+	HAVANA	92091390	p1	Nr2c2_p1
Nr2c2	ENSMUST00000113463.7	chr6	+	HAVANA	92092433	p2	Nr2c2_p2
Nr2f6	ENSMUST00000132630.1	chr8	-	HAVANA	71381906	p1	Nr2f6_p1
Nr2f6	ENSMUST00000002466.8	chr8	-	HAVANA	71381960	p1	Nr2f6_p1
Nr2f6	ENSMUST00000124732.1	chr8	-	HAVANA	71381090	p2	Nr2f6_p2
Nr2f6	ENSMUST00000137058.1	chr8	-	HAVANA	71381177	p2	Nr2f6_p2
Nr3c1	ENSMUST00000115567.7	chr18	-	HAVANA	39490674	p1	Nr3c1_p1
Nr3c1	ENSMUST00000025300.12	chr18	-	HAVANA	39489846	p2	Nr3c1_p2
Nr3c1	ENSMUST00000152853.1	chr18	-	HAVANA	39489888	p2	Nr3c1_p2
Nr3c1	ENSMUST00000124115.1	chr18	-	HAVANA	39491301	p3	Nr3c1_p3
Nr3c1	ENSMUST00000131885.1	chr18	-	HAVANA	39489283	p4	Nr3c1_p4
Nr3c1	ENSMUST00000237944.1	chr18	-	HAVANA	39519421	p5	Nr3c1_p5
Nr3c1	ENSMUST00000150483.1	chr18	-	HAVANA	39491299	p3	Nr3c1_p3
Nr4a1	ENSMUST00000228985.1	chr15	+	HAVANA	101254269	p1	Nr4a1_p1
Nr4a1	ENSMUST00000230814.1	chr15	+	HAVANA	101266846	p2	Nr4a1_p2
Nr4a1	ENSMUST00000023779.7	chr15	+	HAVANA	101266846	p2	Nr4a1_p2
Nr5a2	ENSMUST00000027649.13	chr1	-	HAVANA	136960448	p1	Nr5a2_p1
Nr5a2	ENSMUST00000192357.5	chr1	-	HAVANA	136960380	p1	Nr5a2_p1
Nr5a2	ENSMUST00000192929.5	chr1	-	HAVANA	136953630	p2	Nr5a2_p2
Nr6a1	ENSMUST00000112877.7	chr2	-	HAVANA	38927688	p1	Nr6a1_p1
Nr6a1	ENSMUST00000076275.10	chr2	-	ENSEMBL	38926217	p2	Nr6a1_p2
Nr6a1	ENSMUST00000132636.7	chr2	-	HAVANA	38785111	p3	Nr6a1_p3
Nr6a1	ENSMUST00000142130.1	chr2	-	HAVANA	38926275	p2	Nr6a1_p2
Nrf1	ENSMUST00000115212.7	chr6	+	HAVANA	30047988	p1	Nrf1_p1
Nrf1	ENSMUST00000123194.7	chr6	+	HAVANA	30047991	p1	Nrf1_p1
Nrf1	ENSMUST00000115211.7	chr6	+	HAVANA	30048002	p1	Nrf1_p1
Nrf1	ENSMUST00000146988.7	chr6	+	HAVANA	30048029	p1	Nrf1_p1
Nrf1	ENSMUST00000115206.7	chr6	+	HAVANA	30048031	p1	Nrf1_p1
Nrf1	ENSMUST00000133928.7	chr6	+	HAVANA	30048042	p1	Nrf1_p1
Nrf1	ENSMUST00000115208.7	chr6	+	HAVANA	30048045	p1	Nrf1_p1
Nrf1	ENSMUST00000115209.7	chr6	+	HAVANA	30048067	p1	Nrf1_p1
Nrf1	ENSMUST00000115200.7	chr6	+	HAVANA	30048072	p1	Nrf1_p1
Nrf1	ENSMUST00000115204.7	chr6	+	HAVANA	30048072	p1	Nrf1_p1
Nrf1	ENSMUST00000148990.7	chr6	+	HAVANA	30048151	p1	Nrf1_p1
Nsd2	ENSMUST00000075812.10	chr5	+	HAVANA	33820725	p1	Nsd2_p1
Nsd2	ENSMUST00000114397.8	chr5	+	HAVANA	33820744	p1	Nsd2_p1
Nsd2	ENSMUST00000155880.7	chr5	+	HAVANA	33820829	p1	Nsd2_p1
Nup62cl	ENSMUST00000101212.8	chrX	-	HAVANA	140062568	p1	Nup62cl_p1
Nup62cl	ENSMUST00000154385.7	chrX	-	HAVANA	140062293	p1	Nup62cl_p1
Nup62cl	ENSMUST00000133780.7	chrX	-	HAVANA	140062712	p1	Nup62cl_p1
Nup62cl	ENSMUST00000125678.8	chrX	-	HAVANA	140062580	p1	Nup62cl_p1
Nup62cl	ENSMUST00000124075.1	chrX	-	HAVANA	140062551	p1	Nup62cl_p1
Otx2	ENSMUST00000226501.1	chr14	-	HAVANA	48667515	p1	Otx2_p1
Otx2	ENSMUST00000122009.7	chr14	-	HAVANA	48662872	p2	Otx2_p2
Otx2	ENSMUST00000119070.7	chr14	-	HAVANA	48667513	p1	Otx2_p1
Otx2	ENSMUST00000152018.7	chr14	-	HAVANA	48667644	p1	Otx2_p1
Otx2	ENSMUST00000144465.7	chr14	-	HAVANA	48667508	p1	Otx2_p1
Otx2	ENSMUST00000133479.7	chr14	-	HAVANA	48667508	p1	Otx2_p1
Otx2	ENSMUST00000119739.1	chr14	-	HAVANA	48665521	p3	Otx2_p3
Otx2	ENSMUST00000228512.1	chr14	-	HAVANA	48667518	p1	Otx2_p1
Patz1	ENSMUST00000142561.1	chr11	+	HAVANA	3288874	p1	Patz1_p1
Patz1	ENSMUST00000101644.9	chr11	+	HAVANA	3289167	p1	Patz1_p1
Patz1	ENSMUST00000144396.7	chr11	+	HAVANA	3289202	p1	Patz1_p1
Patz1	ENSMUST00000134089.7	chr11	+	HAVANA	3289281	p1	Patz1_p1
Patz1	ENSMUST00000094471.9	chr11	+	HAVANA	3289993	p2	Patz1_p2
Patz1	ENSMUST00000110043.7	chr11	+	HAVANA	3289993	p2	Patz1_p2
Patz1	ENSMUST00000057089.12	chr11	+	HAVANA	3290439	p2	Patz1_p2
Patz1	ENSMUST00000093402.11	chr11	+	HAVANA	3290457	p2	Patz1_p2
Paxbp1	ENSMUST00000118522.7	chr16	-	HAVANA	91044543	p1	Paxbp1_p1
Paxbp1	ENSMUST00000023698.11	chr16	-	HAVANA	91044164	p1	Paxbp1_p1
Paxbp1	ENSMUST00000127002.1	chr16	-	HAVANA	91044354	p1	Paxbp1_p1
Pbrm1	ENSMUST00000112098.10	chr14	+	HAVANA	31019138	p1	Pbrm1_p1
Pbrm1	ENSMUST00000112095.7	chr14	+	HAVANA	31019138	p1	Pbrm1_p1
Pbrm1	ENSMUST00000112106.7	chr14	+	HAVANA	31019149	p1	Pbrm1_p1
Pbrm1	ENSMUST00000146325.7	chr14	+	HAVANA	31019157	p1	Pbrm1_p1
Pbrm1	ENSMUST00000112094.7	chr14	+	HAVANA	31019170	p1	Pbrm1_p1
Pbrm1	ENSMUST00000144009.1	chr14	+	HAVANA	31019177	p1	Pbrm1_p1
Pbrm1	ENSMUST00000145497.1	chr14	+	HAVANA	31019199	p1	Pbrm1_p1
Pbrm1	ENSMUST00000052239.11	chr14	+	HAVANA	31019208	p1	Pbrm1_p1
Pbx2	ENSMUST00000173328.7	chr17	+	HAVANA	34591266	p1	Pbx2_p1
Pbx2	ENSMUST00000038149.12	chr17	+	HAVANA	34592263	p2	Pbx2_p2
Pbx2	ENSMUST00000183827.7	chr17	+	HAVANA	34592734	p2	Pbx2_p2
